Age,Survival rate
0.42,1.0
0.67,1.0
0.75,1.0
0.83,1.0
0.92,1.0
1.0,0.714285714286
2.0,0.3
3.0,0.833333333333
4.0,0.7
5.0,1.0
6.0,0.666666666667
7.0,0.333333333333
8.0,0.5
9.0,0.25
10.0,0.0
11.0,0.25
12.0,1.0
13.0,1.0
14.0,0.5
14.5,0.0
15.0,0.8
16.0,0.352941176471
17.0,0.461538461538
18.0,0.346153846154
19.0,0.36
20.0,0.2
20.5,0.0
21.0,0.208333333333
22.0,0.407407407407
23.0,0.333333333333
23.5,0.0
24.0,0.5
24.5,0.0
25.0,0.260869565217
26.0,0.333333333333
27.0,0.611111111111
28.0,0.28
28.5,0.0
29.0,0.4
30.0,0.4
30.5,0.0
31.0,0.470588235294
32.0,0.5
32.5,0.5
33.0,0.4
34.0,0.4
34.5,0.0
35.0,0.611111111111
36.0,0.5
36.5,0.0
37.0,0.166666666667
38.0,0.454545454545
39.0,0.357142857143
40.0,0.461538461538
40.5,0.0
41.0,0.333333333333
42.0,0.461538461538
43.0,0.2
44.0,0.333333333333
45.0,0.416666666667
45.5,0.0
46.0,0.0
47.0,0.111111111111
48.0,0.666666666667
49.0,0.666666666667
50.0,0.5
51.0,0.285714285714
52.0,0.5
53.0,1.0
54.0,0.375
55.0,0.5
55.5,0.0
56.0,0.5
57.0,0.0
58.0,0.6
59.0,0.0
60.0,0.5
61.0,0.0
62.0,0.5
63.0,1.0
64.0,0.0
65.0,0.0
66.0,0.0
70.0,0.0
70.5,0.0
71.0,0.0
74.0,0.0
80.0,1.0
